txn_id,customer_id,matter_id,matter_type,txn_date,txn_type,amount_aud,description,unrelated_third_party,counterparty_country
TXN-100446,CUST-10075,MTR-10075-6,Estate Administration,2025-05-25,Withdrawal,11857.26,Trust disbursement - settlement,False,United States
TXN-101461,CUST-10242,MTR-10242-2,Company Formation,2025-05-27,Withdrawal,3119.98,Trust disbursement - settlement,False,Japan
TXN-100889,CUST-10145,MTR-10145-3,Debt Financing Transaction,2025-05-27,Withdrawal,828176.41,Trust disbursement - settlement,False,Japan
TXN-100074,CUST-10012,MTR-10012-3,Estate Administration,2025-05-27,Withdrawal,133349.67,Trust disbursement - settlement,False,United Kingdom
TXN-100707,CUST-10115,MTR-10115-8,Business Sale & Purchase,2025-05-27,Deposit,301222.36,Trust receipt - client funds,False,Cambodia
TXN-100233,CUST-10037,MTR-10037-6,Trust Establishment,2025-05-27,Withdrawal,12502.03,Trust disbursement - settlement,False,Singapore
TXN-101554,CUST-10260,MTR-10260-9,Estate Administration,2025-05-27,Deposit,17523.45,Trust receipt - client funds,False,United Arab Emirates
TXN-102148,CUST-10362,MTR-10362-7,Business Sale & Purchase,2025-05-28,Withdrawal,202214.09,Trust disbursement - settlement,False,United Kingdom
TXN-101351,CUST-10222,MTR-10222-5,Nominee Director Arrangement,2025-05-29,Deposit,1586.96,Trust receipt - client funds,False,Vanuatu
TXN-100947,CUST-10155,MTR-10155-1,Nominee Shareholder Arrangement,2025-05-29,Deposit,7402.54,Trust receipt - client funds,False,Singapore
TXN-101349,CUST-10222,MTR-10222-5,Nominee Director Arrangement,2025-05-30,Withdrawal,4176.19,Trust disbursement - settlement,False,Vanuatu
TXN-100116,CUST-10020,MTR-10020-9,Commercial Conveyancing,2025-05-31,Deposit,1847829.92,Trust receipt - client funds,False,New Zealand
TXN-101629,CUST-10272,MTR-10272-5,Residential Conveyancing,2025-05-31,Withdrawal,459028.83,Trust disbursement - settlement,False,Germany
TXN-101705,CUST-10287,MTR-10287-4,Nominee Shareholder Arrangement,2025-05-31,Deposit,3193118.24,Trust receipt - client funds,False,Yemen
TXN-100232,CUST-10037,MTR-10037-6,Trust Establishment,2025-05-31,Deposit,20125.58,Trust receipt - client funds,False,Singapore
TXN-102432,CUST-10412,MTR-10412-5,Estate Administration,2025-06-01,Withdrawal,33843.43,Trust disbursement - settlement,False,United Kingdom
TXN-100373,CUST-10060,MTR-10060-7,Business Sale & Purchase,2025-06-01,Deposit,299758.24,Trust receipt - client funds,False,Australia
TXN-102122,CUST-10358,MTR-10358-9,Nominee Director Arrangement,2025-06-01,Withdrawal,733.31,Trust disbursement - settlement,False,New Zealand
TXN-100857,CUST-10141,MTR-10141-8,Business Sale & Purchase,2025-06-01,Withdrawal,114738.53,Trust disbursement - settlement,False,Japan
TXN-102372,CUST-10401,MTR-10401-2,Commercial Conveyancing,2025-06-02,Deposit,1352766.0,Trust receipt - client funds,False,Cyprus
TXN-100457,CUST-10076,MTR-10076-3,Debt Financing Transaction,2025-06-03,Deposit,452010.01,Trust receipt - client funds,False,Australia
TXN-100248,CUST-10039,MTR-10039-3,Nominee Shareholder Arrangement,2025-06-03,Deposit,2332.26,Trust receipt - client funds,False,New Zealand
TXN-100672,CUST-10111,MTR-10111-8,Nominee Director Arrangement,2025-06-03,Deposit,648.69,Trust receipt - client funds,False,Japan
TXN-100543,CUST-10088,MTR-10088-3,Nominee Director Arrangement,2025-06-04,Withdrawal,780.81,Trust disbursement - settlement,False,Cambodia
TXN-100243,CUST-10038,MTR-10038-6,Trust Establishment,2025-06-05,Deposit,8950.21,Trust receipt - client funds,False,New Zealand
TXN-101525,CUST-10254,MTR-10254-9,Nominee Director Arrangement,2025-06-05,Deposit,4640.08,Trust receipt - client funds,False,Australia
TXN-101239,CUST-10204,MTR-10204-2,Estate Administration,2025-06-06,Withdrawal,15329.36,Trust disbursement - settlement,False,Cambodia
TXN-100661,CUST-10109,MTR-10109-8,Estate Administration,2025-06-06,Deposit,52336.18,Trust receipt - client funds,False,Canada
TXN-100105,CUST-10018,MTR-10018-5,Nominee Director Arrangement,2025-06-06,Deposit,1043.05,Trust receipt - client funds,False,Japan
TXN-100752,CUST-10124,MTR-10124-4,Estate Administration,2025-06-07,Withdrawal,319147.93,Trust disbursement - settlement,False,Germany
TXN-100647,CUST-10106,MTR-10106-1,Debt Financing Transaction,2025-06-07,Withdrawal,1789293.15,Trust disbursement - settlement,False,Singapore
TXN-101641,CUST-10275,MTR-10275-9,Estate Administration,2025-06-07,Withdrawal,31645.57,Trust disbursement - settlement,False,United Kingdom
TXN-100469,CUST-10078,MTR-10078-4,Nominee Director Arrangement,2025-06-08,Deposit,3807.65,Trust receipt - client funds,False,Japan
TXN-101700,CUST-10286,MTR-10286-8,Commercial Conveyancing,2025-06-08,Deposit,611056.42,Trust receipt - client funds,False,Canada
TXN-101618,CUST-10271,MTR-10271-1,Residential Conveyancing,2025-06-09,Deposit,18503.15,Trust receipt - client funds,False,Singapore
TXN-102062,CUST-10349,MTR-10349-9,Trust Establishment,2025-06-10,Withdrawal,25158.97,Trust disbursement - settlement,False,Myanmar
TXN-100507,CUST-10083,MTR-10083-8,Business Sale & Purchase,2025-06-10,Deposit,64548.68,Trust receipt - client funds,False,Cambodia
TXN-102311,CUST-10390,MTR-10390-5,Business Sale & Purchase,2025-06-11,Deposit,25096.75,Trust receipt - client funds,False,Germany
TXN-100398,CUST-10064,MTR-10064-6,Company Formation,2025-06-12,Withdrawal,10604.86,Trust disbursement - settlement,False,United States
TXN-100309,CUST-10050,MTR-10050-1,Commercial Conveyancing,2025-06-13,Deposit,144714.21,Trust receipt - client funds,False,Panama
TXN-101508,CUST-10251,MTR-10251-3,Company Formation,2025-06-14,Deposit,4282.06,Trust receipt - client funds,False,Singapore
TXN-102242,CUST-10377,MTR-10377-1,Nominee Director Arrangement,2025-06-14,Deposit,778.9,Trust receipt - client funds,False,Germany
TXN-102109,CUST-10355,MTR-10355-4,Business Sale & Purchase,2025-06-15,Withdrawal,310635.61,Trust disbursement - settlement,False,Japan
TXN-102021,CUST-10341,MTR-10341-3,Debt Financing Transaction,2025-06-15,Deposit,502689.83,Trust receipt - client funds,False,Australia
TXN-100315,CUST-10051,MTR-10051-1,Nominee Director Arrangement,2025-06-15,Withdrawal,5509.91,Trust disbursement - settlement,False,Panama
TXN-100907,CUST-10148,MTR-10148-4,Debt Financing Transaction,2025-06-16,Withdrawal,917019.32,Trust disbursement - settlement,False,United Kingdom
TXN-101080,CUST-10174,MTR-10174-4,Nominee Shareholder Arrangement,2025-06-17,Deposit,3504.08,Trust receipt - client funds,False,United Arab Emirates
TXN-100431,CUST-10072,MTR-10072-5,Nominee Shareholder Arrangement,2025-06-17,Withdrawal,1053.15,Trust disbursement - settlement,False,United Kingdom
TXN-100664,CUST-10110,MTR-10110-7,Commercial Conveyancing,2025-06-17,Deposit,2813636.81,Trust receipt - client funds,False,United Arab Emirates
TXN-101284,CUST-10212,MTR-10212-7,Estate Administration,2025-06-18,Deposit,132394.69,Trust receipt - client funds,False,United States
TXN-101238,CUST-10204,MTR-10204-2,Estate Administration,2025-06-19,Deposit,483017.98,Trust receipt - client funds,False,Cambodia
TXN-101138,CUST-10186,MTR-10186-1,Nominee Director Arrangement,2025-06-19,Withdrawal,1695.56,Trust disbursement - settlement,False,United Kingdom
TXN-102169,CUST-10364,MTR-10364-1,Trust Establishment,2025-06-19,Deposit,3815.23,Trust receipt - client funds,False,Cambodia
TXN-102292,CUST-10387,MTR-10387-3,Commercial Conveyancing,2025-06-19,Withdrawal,2776846.96,Trust disbursement - settlement,False,Japan
TXN-100415,CUST-10069,MTR-10069-1,Residential Conveyancing,2025-06-20,Deposit,474687.23,Trust receipt - client funds,False,Cambodia
TXN-101816,CUST-10304,MTR-10304-6,Trust Establishment,2025-06-20,Withdrawal,2727.46,Trust disbursement - settlement,False,Japan
TXN-100950,CUST-10155,MTR-10155-1,Nominee Shareholder Arrangement,2025-06-20,Withdrawal,686.05,Trust disbursement - settlement,False,Singapore
TXN-101774,CUST-10298,MTR-10298-7,Nominee Shareholder Arrangement,2025-06-21,Deposit,632.33,Trust receipt - client funds,False,Germany
TXN-101281,CUST-10212,MTR-10212-7,Estate Administration,2025-06-22,Deposit,6906.46,Trust receipt - client funds,False,United States
TXN-100430,CUST-10072,MTR-10072-5,Nominee Shareholder Arrangement,2025-06-23,Deposit,532.14,Trust receipt - client funds,False,United Kingdom
TXN-101962,CUST-10332,MTR-10332-6,Trust Establishment,2025-06-24,Withdrawal,3112.2,Trust disbursement - settlement,False,Japan
TXN-100715,CUST-10117,MTR-10117-9,Company Formation,2025-06-24,Deposit,1317.53,Trust receipt - client funds,False,Singapore
TXN-101132,CUST-10186,MTR-10186-1,Nominee Director Arrangement,2025-06-24,Deposit,2243.31,Trust receipt - client funds,False,United Kingdom
TXN-102202,CUST-10369,MTR-10369-2,Company Formation,2025-06-25,Withdrawal,749.82,Trust disbursement - settlement,False,Vanuatu
TXN-100840,CUST-10138,MTR-10138-8,Residential Conveyancing,2025-06-26,Deposit,19999.89,Trust receipt - client funds,False,Canada
TXN-101585,CUST-10266,MTR-10266-9,Nominee Director Arrangement,2025-06-26,Deposit,4392.23,Trust receipt - client funds,False,United States
TXN-100208,CUST-10033,MTR-10033-3,Business Sale & Purchase,2025-06-26,Deposit,1416442.77,Trust receipt - client funds,False,New Zealand
TXN-100609,CUST-10101,MTR-10101-9,Commercial Conveyancing,2025-06-27,Deposit,1630985.29,Trust receipt - client funds,False,United Kingdom
TXN-100716,CUST-10118,MTR-10118-8,Residential Conveyancing,2025-06-28,Withdrawal,24535.65,Trust disbursement - settlement,False,Canada
TXN-100724,CUST-10119,MTR-10119-6,Company Formation,2025-06-28,Deposit,12714.76,Trust receipt - client funds,False,United Kingdom
TXN-102384,CUST-10403,MTR-10403-6,Company Formation,2025-06-29,Withdrawal,13257.14,Trust disbursement - settlement,False,Germany
TXN-100269,CUST-10042,MTR-10042-4,Company Formation,2025-06-30,Withdrawal,14015.12,Trust disbursement - settlement,False,New Zealand
TXN-101347,CUST-10222,MTR-10222-5,Nominee Director Arrangement,2025-06-30,Deposit,554.89,Trust receipt - client funds,False,Vanuatu
TXN-101788,CUST-10299,MTR-10299-2,Trust Establishment,2025-06-30,Deposit,13966.18,Trust receipt - client funds,False,Japan
TXN-100626,CUST-10103,MTR-10103-4,Nominee Shareholder Arrangement,2025-07-01,Deposit,3919.93,Trust receipt - client funds,False,Germany
TXN-101322,CUST-10218,MTR-10218-8,Trust Establishment,2025-07-01,Withdrawal,18268.42,Trust disbursement - settlement,False,Cyprus
TXN-100512,CUST-10083,MTR-10083-8,Business Sale & Purchase,2025-07-01,Deposit,64284.43,Trust receipt - client funds,False,Cambodia
TXN-100958,CUST-10156,MTR-10156-2,Debt Financing Transaction,2025-07-01,Deposit,92161.76,Trust receipt - client funds,False,New Zealand
TXN-100419,CUST-10070,MTR-10070-9,Trust Establishment,2025-07-02,Withdrawal,1952.86,Trust disbursement - settlement,False,Germany
TXN-100310,CUST-10050,MTR-10050-1,Commercial Conveyancing,2025-07-03,Withdrawal,159214.11,Trust disbursement - settlement,False,Panama
TXN-102260,CUST-10380,MTR-10380-7,Company Formation,2025-07-03,Deposit,7814.12,Trust receipt - client funds,False,Canada
TXN-100417,CUST-10070,MTR-10070-9,Trust Establishment,2025-07-03,Deposit,2153.01,Trust receipt - client funds,False,Germany
TXN-101926,CUST-10325,MTR-10325-2,Estate Administration,2025-07-05,Withdrawal,286865.69,Trust disbursement - settlement,False,Cyprus
TXN-100711,CUST-10116,MTR-10116-9,Trust Establishment,2025-07-05,Deposit,2455.12,Trust receipt - client funds,False,Australia
TXN-101081,CUST-10175,MTR-10175-8,Company Formation,2025-07-05,Withdrawal,10955.23,Trust disbursement - settlement,False,United States
TXN-100552,CUST-10089,MTR-10089-9,Nominee Shareholder Arrangement,2025-07-05,Deposit,2888.83,Trust receipt - client funds,False,Cyprus
TXN-100071,CUST-10012,MTR-10012-3,Trust Establishment,2025-07-06,Deposit,5482809.64,Trust receipt - client funds,False,United Kingdom
TXN-100244,CUST-10039,MTR-10039-3,Nominee Shareholder Arrangement,2025-07-06,Withdrawal,5497.93,Trust disbursement - settlement,False,New Zealand
TXN-101858,CUST-10312,MTR-10312-4,Debt Financing Transaction,2025-07-07,Deposit,88211.84,Trust receipt - client funds,False,Germany
TXN-100104,CUST-10018,MTR-10018-5,Nominee Director Arrangement,2025-07-08,Deposit,1385.94,Trust receipt - client funds,False,Japan
TXN-100541,CUST-10088,MTR-10088-3,Nominee Director Arrangement,2025-07-08,Deposit,1266.17,Trust receipt - client funds,False,Cambodia
TXN-100304,CUST-10049,MTR-10049-9,Estate Administration,2025-07-09,Withdrawal,9698.36,Trust disbursement - settlement,False,United Arab Emirates
TXN-101565,CUST-10262,MTR-10262-2,Company Formation,2025-07-09,Deposit,1229.89,Trust receipt - client funds,False,Australia
TXN-101977,CUST-10334,MTR-10334-2,Company Formation,2025-07-09,Deposit,867.26,Trust receipt - client funds,False,Germany
TXN-100901,CUST-10147,MTR-10147-3,Nominee Shareholder Arrangement,2025-07-09,Withdrawal,598.5,Trust disbursement - settlement,False,Canada
TXN-100470,CUST-10078,MTR-10078-4,Nominee Director Arrangement,2025-07-09,Deposit,4679.14,Trust receipt - client funds,False,Japan
TXN-100621,CUST-10102,MTR-10102-1,Estate Administration,2025-07-09,Deposit,789576.51,Trust receipt - client funds,False,New Zealand
TXN-102389,CUST-10404,MTR-10404-3,Nominee Shareholder Arrangement,2025-07-10,Withdrawal,5733.24,Trust disbursement - settlement,False,Germany
TXN-101352,CUST-10222,MTR-10222-5,Nominee Director Arrangement,2025-07-10,Deposit,2128.8,Trust receipt - client funds,False,Vanuatu
TXN-100902,CUST-10147,MTR-10147-3,Nominee Shareholder Arrangement,2025-07-11,Withdrawal,2496.55,Trust disbursement - settlement,False,Canada
TXN-101832,CUST-10306,MTR-10306-2,Trust Establishment,2025-07-11,Withdrawal,1063.12,Trust disbursement - settlement,False,Singapore
TXN-102095,CUST-10353,MTR-10353-4,Residential Conveyancing,2025-07-12,Deposit,291138.95,Trust receipt - client funds,False,Germany
TXN-101486,CUST-10246,MTR-10246-3,Business Sale & Purchase,2025-07-12,Deposit,196148.79,Trust receipt - client funds,False,Australia
TXN-101211,CUST-10198,MTR-10198-8,Commercial Conveyancing,2025-07-13,Withdrawal,97753.69,Trust disbursement - settlement,False,Democratic Republic of Congo
TXN-101573,CUST-10263,MTR-10263-5,Residential Conveyancing,2025-07-13,Withdrawal,40072.4,Trust disbursement - settlement,False,United Arab Emirates
TXN-102431,CUST-10412,MTR-10412-5,Estate Administration,2025-07-13,Deposit,6103.44,Trust receipt - client funds,False,United Kingdom
TXN-100418,CUST-10070,MTR-10070-9,Trust Establishment,2025-07-13,Deposit,1102.82,Trust receipt - client funds,False,Germany
TXN-102074,CUST-10350,MTR-10350-7,Residential Conveyancing,2025-07-14,Withdrawal,838162.85,Trust disbursement - settlement,False,United Kingdom
TXN-102254,CUST-10379,MTR-10379-1,Nominee Director Arrangement,2025-07-14,Deposit,4152.74,Trust receipt - client funds,False,Democratic Republic of Congo
TXN-100548,CUST-10089,MTR-10089-9,Nominee Shareholder Arrangement,2025-07-14,Deposit,4124.19,Trust receipt - client funds,False,Cyprus
TXN-102390,CUST-10404,MTR-10404-3,Nominee Shareholder Arrangement,2025-07-15,Deposit,3020.38,Trust receipt - client funds,False,Germany
TXN-102208,CUST-10370,MTR-10370-3,Nominee Director Arrangement,2025-07-15,Deposit,1481.69,Trust receipt - client funds,False,United States
TXN-101208,CUST-10197,MTR-10197-2,Nominee Shareholder Arrangement,2025-07-15,Withdrawal,2313.38,Trust disbursement - settlement,False,Germany
TXN-102307,CUST-10389,MTR-10389-2,Nominee Director Arrangement,2025-07-15,Deposit,7306.02,Trust receipt - client funds,False,New Zealand
TXN-100861,CUST-10141,MTR-10141-8,Business Sale & Purchase,2025-07-15,Withdrawal,1188150.59,Trust disbursement - settlement,False,Japan
TXN-101500,CUST-10248,MTR-10248-5,Trust Establishment,2025-07-16,Deposit,26742.62,Trust receipt - client funds,False,New Zealand
TXN-101979,CUST-10334,MTR-10334-2,Company Formation,2025-07-16,Withdrawal,14885.62,Trust disbursement - settlement,False,Germany
TXN-102153,CUST-10362,MTR-10362-7,Business Sale & Purchase,2025-07-17,Withdrawal,43861.17,Trust disbursement - settlement,False,United Kingdom
TXN-101084,CUST-10175,MTR-10175-8,Company Formation,2025-07-17,Withdrawal,1432.03,Trust disbursement - settlement,False,United States
TXN-101140,CUST-10186,MTR-10186-1,Nominee Director Arrangement,2025-07-17,Deposit,1026.22,Trust receipt - client funds,False,United Kingdom
TXN-102241,CUST-10377,MTR-10377-1,Nominee Director Arrangement,2025-07-17,Withdrawal,2262.98,Trust disbursement - settlement,False,Germany
TXN-101320,CUST-10217,MTR-10217-8,Nominee Shareholder Arrangement,2025-07-17,Withdrawal,1506.65,Trust disbursement - settlement,False,Singapore
TXN-100544,CUST-10088,MTR-10088-3,Nominee Director Arrangement,2025-07-17,Deposit,4829.48,Trust receipt - client funds,False,Cambodia
